DayOfWeek,DayOfWeekNbr,StartDate,ed_visits,ed_visits_known_to_PARIS_MH
Saturday,6,23/09/2017,59,22
Sunday,7,24/09/2017,51,15
Monday,1,25/09/2017,56,22
Tuesday,2,26/09/2017,54,23
Wednesday,3,27/09/2017,42,19
Thursday,4,28/09/2017,52,22
Friday,5,29/09/2017,41,14
Saturday,6,30/09/2017,38,9
Sunday,7,01/10/2017,43,18
Monday,1,02/10/2017,46,17
Tuesday,2,03/10/2017,42,11
Wednesday,3,04/10/2017,44,12
Thursday,4,05/10/2017,39,16
Friday,5,06/10/2017,39,10
Saturday,6,07/10/2017,44,15
Sunday,7,08/10/2017,31,10
Monday,1,09/10/2017,51,19
Tuesday,2,10/10/2017,46,14
Wednesday,3,11/10/2017,39,10
Thursday,4,12/10/2017,40,14
Friday,5,13/10/2017,48,23
Saturday,6,14/10/2017,40,11
Sunday,7,15/10/2017,50,16
Monday,1,16/10/2017,49,17
Tuesday,2,17/10/2017,41,15
Wednesday,3,18/10/2017,49,18
Thursday,4,19/10/2017,38,12
Friday,5,20/10/2017,52,24
Saturday,6,21/10/2017,44,13
Sunday,7,22/10/2017,52,17
Monday,1,23/10/2017,39,16
Tuesday,2,24/10/2017,46,17
Wednesday,3,25/10/2017,52,17
Thursday,4,26/10/2017,44,16
Friday,5,27/10/2017,30,16
Saturday,6,28/10/2017,51,22
Sunday,7,29/10/2017,49,17
Monday,1,30/10/2017,41,11
Tuesday,2,31/10/2017,51,20
Wednesday,3,01/11/2017,54,21
Thursday,4,02/11/2017,46,18
Friday,5,03/11/2017,38,10
Saturday,6,04/11/2017,39,13
Sunday,7,05/11/2017,43,18
Monday,1,06/11/2017,43,13
Tuesday,2,07/11/2017,41,14
Wednesday,3,08/11/2017,47,15
Thursday,4,09/11/2017,48,15
Friday,5,10/11/2017,51,19
Saturday,6,11/11/2017,46,15
Sunday,7,12/11/2017,40,17
Monday,1,13/11/2017,49,17
Tuesday,2,14/11/2017,42,10
Wednesday,3,15/11/2017,31,11
Thursday,4,16/11/2017,39,16
Friday,5,17/11/2017,45,18
Saturday,6,18/11/2017,53,22
Sunday,7,19/11/2017,36,15
Monday,1,20/11/2017,48,21
Tuesday,2,21/11/2017,31,15
Wednesday,3,22/11/2017,40,14
Thursday,4,23/11/2017,47,24
Friday,5,24/11/2017,47,14
Saturday,6,25/11/2017,40,11
Sunday,7,26/11/2017,42,19
Monday,1,27/11/2017,52,18
Tuesday,2,28/11/2017,44,17
Wednesday,3,29/11/2017,41,14
Thursday,4,30/11/2017,51,18
Friday,5,01/12/2017,48,17
Saturday,6,02/12/2017,44,15
Sunday,7,03/12/2017,38,19
Monday,1,04/12/2017,47,12
Tuesday,2,05/12/2017,41,12
Wednesday,3,06/12/2017,48,16
Thursday,4,07/12/2017,48,17
Friday,5,08/12/2017,41,17
Saturday,6,09/12/2017,41,14
Sunday,7,10/12/2017,49,15
Monday,1,11/12/2017,64,24
Tuesday,2,12/12/2017,46,16
Wednesday,3,13/12/2017,38,13
Thursday,4,14/12/2017,44,17
Friday,5,15/12/2017,49,16
Saturday,6,16/12/2017,49,12
Sunday,7,17/12/2017,45,20
Monday,1,18/12/2017,51,18
Tuesday,2,19/12/2017,46,16
Wednesday,3,20/12/2017,45,25
Thursday,4,21/12/2017,39,16
Friday,5,22/12/2017,47,7
Saturday,6,23/12/2017,43,17
Sunday,7,24/12/2017,50,14
Monday,1,25/12/2017,29,14
Tuesday,2,26/12/2017,49,15
Wednesday,3,27/12/2017,65,21
Thursday,4,28/12/2017,49,24
Friday,5,29/12/2017,62,20
Saturday,6,30/12/2017,62,28
Sunday,7,31/12/2017,68,26
Monday,1,01/01/2018,48,22
Tuesday,2,02/01/2018,41,10
Wednesday,3,03/01/2018,42,15
Thursday,4,04/01/2018,42,16
Friday,5,05/01/2018,52,17
Saturday,6,06/01/2018,55,22
Sunday,7,07/01/2018,45,11
Monday,1,08/01/2018,44,8
Tuesday,2,09/01/2018,49,19
Wednesday,3,10/01/2018,60,26
Thursday,4,11/01/2018,45,22
Friday,5,12/01/2018,55,13
Saturday,6,13/01/2018,39,12
Sunday,7,14/01/2018,40,12
Monday,1,15/01/2018,46,19
Tuesday,2,16/01/2018,47,23
Wednesday,3,17/01/2018,48,15
Thursday,4,18/01/2018,40,14
Friday,5,19/01/2018,41,16
Saturday,6,20/01/2018,42,13
Sunday,7,21/01/2018,45,13
Monday,1,22/01/2018,45,18
Tuesday,2,23/01/2018,35,16
Wednesday,3,24/01/2018,40,10
Thursday,4,25/01/2018,36,15
Friday,5,26/01/2018,39,13
Saturday,6,27/01/2018,40,15
Sunday,7,28/01/2018,33,11
Monday,1,29/01/2018,54,19
Tuesday,2,30/01/2018,54,22
Wednesday,3,31/01/2018,42,16
Thursday,4,01/02/2018,44,21
Friday,5,02/02/2018,42,17
Saturday,6,03/02/2018,51,20
Sunday,7,04/02/2018,50,18
Monday,1,05/02/2018,42,18
Tuesday,2,06/02/2018,42,20
Wednesday,3,07/02/2018,46,17
Thursday,4,08/02/2018,42,22
Friday,5,09/02/2018,56,25
Saturday,6,10/02/2018,47,21
Sunday,7,11/02/2018,61,26
Monday,1,12/02/2018,36,6
Tuesday,2,13/02/2018,61,20
Wednesday,3,14/02/2018,43,11
Thursday,4,15/02/2018,49,22
Friday,5,16/02/2018,60,14
Saturday,6,17/02/2018,49,15
Sunday,7,18/02/2018,45,14
Monday,1,19/02/2018,45,14
Tuesday,2,20/02/2018,43,16
Wednesday,3,21/02/2018,40,12
Thursday,4,22/02/2018,47,17
Friday,5,23/02/2018,39,9
Saturday,6,24/02/2018,55,9
Sunday,7,25/02/2018,42,16
Monday,1,26/02/2018,48,13
Tuesday,2,27/02/2018,43,17
Wednesday,3,28/02/2018,48,17
Thursday,4,01/03/2018,55,13
Friday,5,02/03/2018,52,12
Saturday,6,03/03/2018,46,15
Sunday,7,04/03/2018,45,15
Monday,1,05/03/2018,62,18
Tuesday,2,06/03/2018,50,18
Wednesday,3,07/03/2018,37,15
Thursday,4,08/03/2018,42,17
Friday,5,09/03/2018,42,20
Saturday,6,10/03/2018,55,13
Sunday,7,11/03/2018,41,16
Monday,1,12/03/2018,44,15
Tuesday,2,13/03/2018,56,21
Wednesday,3,14/03/2018,52,19
Thursday,4,15/03/2018,52,16
Friday,5,16/03/2018,43,16
Saturday,6,17/03/2018,57,24
Sunday,7,18/03/2018,49,11
Monday,1,19/03/2018,62,18
Tuesday,2,20/03/2018,48,9
Wednesday,3,21/03/2018,49,16
Thursday,4,22/03/2018,56,19
Friday,5,23/03/2018,53,13
Saturday,6,24/03/2018,46,11
Sunday,7,25/03/2018,52,17
Monday,1,26/03/2018,52,12
Tuesday,2,27/03/2018,48,14
Wednesday,3,28/03/2018,37,12
Thursday,4,29/03/2018,54,17
Friday,5,30/03/2018,62,11
Saturday,6,31/03/2018,65,23
Sunday,7,01/04/2018,41,11
Monday,1,02/04/2018,47,12
Tuesday,2,03/04/2018,48,12
Wednesday,3,04/04/2018,65,22
Thursday,4,05/04/2018,38,15
Friday,5,06/04/2018,47,21
Saturday,6,07/04/2018,61,25
Sunday,7,08/04/2018,51,18
Monday,1,09/04/2018,41,21
Tuesday,2,10/04/2018,46,15
Wednesday,3,11/04/2018,49,15
Thursday,4,12/04/2018,50,20
Friday,5,13/04/2018,47,12
Saturday,6,14/04/2018,40,13
Sunday,7,15/04/2018,43,10
Monday,1,16/04/2018,42,13
Tuesday,2,17/04/2018,55,20
Wednesday,3,18/04/2018,41,15
Thursday,4,19/04/2018,46,19
Friday,5,20/04/2018,37,13
Saturday,6,21/04/2018,39,13
Sunday,7,22/04/2018,44,19
Monday,1,23/04/2018,55,15
Tuesday,2,24/04/2018,45,14
Wednesday,3,25/04/2018,46,19
Thursday,4,26/04/2018,40,14
Friday,5,27/04/2018,52,17
Saturday,6,28/04/2018,49,20
Sunday,7,29/04/2018,39,8
Monday,1,30/04/2018,41,15
Tuesday,2,01/05/2018,32,8
Wednesday,3,02/05/2018,48,12
Thursday,4,03/05/2018,46,16
Friday,5,04/05/2018,55,23
Saturday,6,05/05/2018,39,12
Sunday,7,06/05/2018,40,18
Monday,1,07/05/2018,60,22
Tuesday,2,08/05/2018,49,20
Wednesday,3,09/05/2018,45,15
Thursday,4,10/05/2018,49,20
Friday,5,11/05/2018,44,18
Saturday,6,12/05/2018,45,17
Sunday,7,13/05/2018,55,20
Monday,1,14/05/2018,59,23
Tuesday,2,15/05/2018,53,14
Wednesday,3,16/05/2018,53,21
Thursday,4,17/05/2018,50,14
Friday,5,18/05/2018,44,13
Saturday,6,19/05/2018,51,18
Sunday,7,20/05/2018,52,20
Monday,1,21/05/2018,61,13
Tuesday,2,22/05/2018,58,18
Wednesday,3,23/05/2018,56,23
Thursday,4,24/05/2018,45,15
Friday,5,25/05/2018,47,11
Saturday,6,26/05/2018,46,19
Sunday,7,27/05/2018,48,15
Monday,1,28/05/2018,58,15
Tuesday,2,29/05/2018,52,11
Wednesday,3,30/05/2018,47,18
Thursday,4,31/05/2018,49,18
Friday,5,01/06/2018,40,12
Saturday,6,02/06/2018,35,13
